ID,Trough,Partition,FertModule,Substrate,Variety,Planting_material,Stand,PltingDate,Vinelength2wks,NON2,NON4,Tubwt6months,No_tub6months
91,4,A,SSSF,C+P+K,ASIEDU,Tubers,1,11/9/2020,37,5,11,6.6,1
92,4,A,SSSF,C+P+K,ASIEDU,Tubers,2,11/9/2020,69,10,16,7.3,1
93,4,A,SSSF,C+P+K,ASIEDU,Tubers,3,11/9/2020,26,4,11,8.5,1
94,4,A,SSSF,C+P+K,ASIEDU,Tubers,4,11/9/2020,19.9,4,8,5.5,1
95,4,A,SSSF,C+P+K,ASIEDU,Tubers,5,11/9/2020,39,5,9,5.3,1
96,4,A,SSSF,C+P+K,ASIEDU,Tubers,6,11/9/2020,48,7,12,6.4,1
97,4,A,SSSF,C+P+K,ASIEDU,Tubers,7,11/9/2020,15.5,3,7,16.7,1
98,4,A,SSSF,C+P+K,ASIEDU,Tubers,8,11/9/2020,45,7,12,2.9,1
99,4,A,SSSF,C+P+K,ASIEDU,Tubers,9,11/9/2020,60.6,8,13,29.4,1
100,4,A,SSSF,C+P+K,ASIEDU,Tubers,10,11/9/2020,65,8,16,11.5,1
101,4,B,SSSF,C+K,ASIEDU,Vines,1,11/9/2020,62,9,22,70.6,1
102,4,B,SSSF,C+K,ASIEDU,Vines,2,11/9/2020,32,5,18,72.1,1
103,4,B,SSSF,C+K,ASIEDU,Vines,3,11/9/2020,45,10,18,30.1,1
104,4,B,SSSF,C+K,ASIEDU,Vines,4,11/9/2020,26,5,16,54.4,2
105,4,B,SSSF,C+K,ASIEDU,Vines,5,11/9/2020,62,10,19,61.9,1
106,4,B,SSSF,C+K,ASIEDU,Vines,6,11/9/2020,41,7,24,66,1
107,4,B,SSSF,C+K,ASIEDU,Vines,7,11/9/2020,35,7,12,68.2,1
108,4,B,SSSF,C+K,ASIEDU,Vines,8,11/9/2020,42.6,8,10,25.9,1
109,4,B,SSSF,C+K,ASIEDU,Vines,9,11/9/2020,57,9,19,84.8,1
110,4,B,SSSF,C+K,ASIEDU,Vines,10,11/9/2020,44.4,8,16,166,3
111,4,C,SSSF,C+P,ASIEDU,Vines,1,11/9/2020,30.1,6,16,100.1,2
112,4,C,SSSF,C+P,ASIEDU,Vines,2,11/9/2020,44.4,9,31,112.2,1
113,4,C,SSSF,C+P,ASIEDU,Vines,3,11/9/2020,40.3,8,18,97,1
114,4,C,SSSF,C+P,ASIEDU,Vines,4,11/9/2020,38.6,7,19,128.7,1
115,4,C,SSSF,C+P,ASIEDU,Vines,5,11/9/2020,72,14,36,116.6,2
116,4,C,SSSF,C+P,ASIEDU,Vines,6,11/9/2020,59,10,23,72.3,1
117,4,C,SSSF,C+P,ASIEDU,Vines,7,11/9/2020,24,6,20,51.7,1
118,4,C,SSSF,C+P,ASIEDU,Vines,8,11/9/2020,35,6,16,69.4,1
119,4,C,SSSF,C+P,ASIEDU,Vines,9,11/9/2020,51.7,9,21,96.4,1
120,4,C,SSSF,C+P,ASIEDU,Vines,10,11/9/2020,27,5,13,65.7,1
121,5,A,SSRF,C+P+K,ASIEDU,Tubers,1,11/9/2020,41.6,6,14,7.3,1
122,5,A,SSRF,C+P+K,ASIEDU,Tubers,2,11/9/2020,23.3,7,12,5.2,1
123,5,A,SSRF,C+P+K,ASIEDU,Tubers,3,11/9/2020,46,7,18,4.1,1
124,5,A,SSRF,C+P+K,ASIEDU,Tubers,4,11/9/2020,63,8,16,16.6,1
125,5,A,SSRF,C+P+K,ASIEDU,Tubers,5,11/9/2020,39,8,12,5.6,1
126,5,A,SSRF,C+P+K,ASIEDU,Tubers,6,11/9/2020,41.6,7,14,30.2,1
127,5,A,SSRF,C+P+K,ASIEDU,Tubers,7,11/9/2020,39,6,14,23,1
128,5,A,SSRF,C+P+K,ASIEDU,Tubers,8,11/9/2020,18,5,12,35.9,1
129,5,A,SSRF,C+P+K,ASIEDU,Tubers,9,11/9/2020,30.8,6,12,7.4,1
130,5,A,SSRF,C+P+K,ASIEDU,Tubers,10,11/9/2020,38,6,9,6.4,1
131,5,B,SSRF,C+K,ASIEDU,Vines,1,11/9/2020,20.6,5,16,7.3,1
132,5,B,SSRF,C+K,ASIEDU,Vines,2,11/9/2020,16,4,13,48.1,1
133,5,B,SSRF,C+K,ASIEDU,Vines,3,11/9/2020,36,6,14,30.4,1
134,5,B,SSRF,C+K,ASIEDU,Vines,4,11/9/2020,30.7,6,9,10.7,1
135,5,B,SSRF,C+K,ASIEDU,Vines,5,11/9/2020,46.4,6,7,14,1
136,5,B,SSRF,C+K,ASIEDU,Vines,6,11/9/2020,31,5,20,3.7,1
137,5,B,SSRF,C+K,ASIEDU,Vines,7,11/9/2020,15.2,4,5,9.2,1
138,5,B,SSRF,C+K,ASIEDU,Vines,8,11/9/2020,18.6,4,17,67.1,2
139,5,B,SSRF,C+K,ASIEDU,Vines,9,11/9/2020,31,5,17,16.7,1
140,5,B,SSRF,C+K,ASIEDU,Vines,10,11/9/2020,28,8,21,20.4,2
141,5,C,SSRF,C+P,ASIEDU,Vines,1,11/9/2020,40,15,38,138.8,4
142,5,C,SSRF,C+P,ASIEDU,Vines,2,11/9/2020,25,7,20,89.2,1
143,5,C,SSRF,C+P,ASIEDU,Vines,3,11/9/2020,25,3,16,158.4,4
144,5,C,SSRF,C+P,ASIEDU,Vines,4,11/9/2020,38,7,29,143.4,1
145,5,C,SSRF,C+P,ASIEDU,Vines,5,11/9/2020,19,8,19,48.9,2
146,5,C,SSRF,C+P,ASIEDU,Vines,6,11/9/2020,29,6,13,46.1,1
147,5,C,SSRF,C+P,ASIEDU,Vines,7,11/9/2020,25,5,17,75.7,2
148,5,C,SSRF,C+P,ASIEDU,Vines,8,11/9/2020,13,3,11,84.6,1
149,5,C,SSRF,C+P,ASIEDU,Vines,9,11/9/2020,15.6,5,14,60.4,3
150,5,C,SSRF,C+P,ASIEDU,Vines,10,11/9/2020,13.6,3,5,14,1
151,6,A,SSRF,C+P+K,KPAMYO,Tubers,1,11/9/2020,9,3,12,8.3,2
152,6,A,SSRF,C+P+K,KPAMYO,Tubers,2,11/9/2020,22.2,8,17,12.8,1
153,6,A,SSRF,C+P+K,KPAMYO,Tubers,3,11/9/2020,24,5,16,26.9,1
154,6,A,SSRF,C+P+K,KPAMYO,Tubers,4,11/9/2020,8.8,3,6,2.8,1
155,6,A,SSRF,C+P+K,KPAMYO,Tubers,5,11/9/2020,20.8,5,7,2.8,1
156,6,A,SSRF,C+P+K,KPAMYO,Tubers,6,11/9/2020,55.5,9,16,3.6,1
157,6,A,SSRF,C+P+K,KPAMYO,Tubers,7,11/9/2020,42.7,7,11,10.6,2
158,6,A,SSRF,C+P+K,KPAMYO,Tubers,8,11/9/2020,30,5,10,22.2,2
159,6,A,SSRF,C+P+K,KPAMYO,Tubers,9,11/9/2020,18,4,13,7.7,1
160,6,A,SSRF,C+P+K,KPAMYO,Tubers,10,11/9/2020,17.7,5,10,4.9,1
161,6,B,SSRF,C+K,KPAMYO,Vines,1,11/9/2020,21.6,4,11,36.5,1
162,6,B,SSRF,C+K,KPAMYO,Vines,2,11/9/2020,17.7,3,6,27.2,1
163,6,B,SSRF,C+K,KPAMYO,Vines,3,11/9/2020,35,6,9,14.4,1
164,6,B,SSRF,C+K,KPAMYO,Vines,4,11/9/2020,53,7,20,80.2,2
165,6,B,SSRF,C+K,KPAMYO,Vines,5,11/9/2020,9.9,3,6,48,2
166,6,B,SSRF,C+K,KPAMYO,Vines,6,11/9/2020,48,10,23,83.8,1
167,6,B,SSRF,C+K,KPAMYO,Vines,7,11/9/2020,6.6,2,6,4.6,1
